time,voltage,torque_L,rpm_L,power_L,torque_R,rpm_R,power_R,stage
3.099999958067201e-06,10.0,-0.014779603199996601,2.4319999999999453,-0.0003688765425526693,-0.0019706137599986395,2.4319999999999453,-4.918353900699992e-05,isometric
0.020290100000238454,10.0,-0.014779603199996601,2.934399999999826,-0.0004450786704220859,0.022662058239995515,2.934399999999826,0.000682453961313887,isometric
0.040652000000591215,10.0,0.009853068799997552,2.934399999999826,0.00029671911361471847,-0.0019706137599986395,3.4367999999998844,-6.950410643883858e-05,isometric
0.06126810000023397,10.0,-0.014779603199996601,2.934399999999826,-0.0004450786704220859,-0.0019706137599986395,3.4367999999998844,-6.950410643883858e-05,isometric
0.0818665000006149,10.0,0.009853068799997552,3.4367999999998844,0.0003475205321943465,-0.0019706137599986395,2.934399999999826,-5.934382272291746e-05,isometric
0.10221920000003593,10.0,-0.014779603199996601,3.4367999999998844,-0.0005212807982915294,-0.0019706137599986395,2.934399999999826,-5.934382272291746e-05,isometric
0.1224051999997755,10.0,-0.014779603199996601,2.934399999999826,-0.0004450786704220859,-0.0019706137599986395,2.934399999999826,-5.934382272291746e-05,isometric
0.14280729999973119,10.0,0.009853068799997552,2.934399999999826,0.00029671911361471847,-0.0019706137599986395,2.934399999999826,-5.934382272291746e-05,isometric
0.16336649999993824,10.0,0.009853068799997552,2.934399999999826,0.00029671911361471847,-0.0019706137599986395,2.934399999999826,-5.934382272291746e-05,isometric
0.1836579000000711,10.0,-0.014779603199996601,2.4319999999999453,-0.0003688765425526693,-0.026603285760001504,2.934399999999826,-0.0008011416067599841,isometric
0.20434800000020914,10.0,-0.014779603199996601,3.4367999999998844,-0.0005212807982915294,-0.0019706137599986395,2.934399999999826,-5.934382272291746e-05,isometric
0.22455669999999373,10.0,0.009853068799997552,2.934399999999826,0.00029671911361471847,-0.0019706137599986395,3.4367999999998844,-6.950410643883858e-05,isometric
0.24469370000042545,10.0,0.009853068799997552,3.4367999999998844,0.0003475205321943465,-0.0019706137599986395,2.934399999999826,-5.934382272291746e-05,isometric
0.26500339999984135,10.0,-0.014779603199996601,2.934399999999826,-0.0004450786704220859,-0.0019706137599986395,2.934399999999826,-5.934382272291746e-05,isometric
0.28529119999984687,10.0,0.009853068799997552,2.934399999999826,0.00029671911361471847,-0.0019706137599986395,2.934399999999826,-5.934382272291746e-05,isometric
0.3057791000001089,10.0,-0.014779603199996601,2.934399999999826,-0.0004450786704220859,0.022662058239995515,2.934399999999826,0.000682453961313887,isometric
0.3260729000003266,10.0,0.009853068799997552,2.934399999999826,0.00029671911361471847,-0.0019706137599986395,2.934399999999826,-5.934382272291746e-05,isometric
0.3464478000005329,10.0,-0.014779603199996601,3.4367999999998844,-0.0005212807982915294,-0.0019706137599986395,2.934399999999826,-5.934382272291746e-05,isometric
0.3668751000004704,10.0,0.009853068799997552,2.934399999999826,0.00029671911361471847,0.022662058239995515,3.4367999999998844,0.0007992972240470374,isometric
0.38737420000052225,10.0,-0.014779603199996601,2.934399999999826,-0.0004450786704220859,-0.0019706137599986395,3.4367999999998844,-6.950410643883858e-05,isometric
0.4077188000001115,10.0,0.009853068799997552,2.934399999999826,0.00029671911361471847,-0.0019706137599986395,2.934399999999826,-5.934382272291746e-05,isometric
0.4281628999997338,10.0,-0.014779603199996601,2.934399999999826,-0.0004450786704220859,-0.0019706137599986395,2.4319999999999453,-4.918353900699992e-05,isometric
